Patch No.,Project,Bug,Test Category,Seed,Total Test No.,Failing Test No.,Time
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,26,1848,0,3.597
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,27,1839,0,3.506
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,28,1882,0,3.536
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,29,1786,0,3.537
patch-Chart-24-fix.patch,Chart,24,Randoop_2019,30,1880,0,3.762
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,1,1121,1,4.578
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,2,1025,30,4.063
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,3,1109,0,4.266
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,4,1109,0,4.168
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,5,1065,0,4.151
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,6,1304,0,5.815
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,7,1220,0,5.538
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,8,1061,0,6.053
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,9,1040,2,3.881
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,10,939,6,3.92
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,11,1199,23,3.971
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,12,1095,2,3.875
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,13,1062,1,3.865
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,14,1067,2,4.011
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,15,1067,2,4.054
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,16,1061,1,4.008
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,17,1049,4,4.022
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,18,1039,6,3.886
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,19,1048,3,3.97
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,20,1023,6,5.376
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,21,1276,1,5.414
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,22,1051,7,5.36
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,23,1136,6,6.015
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,24,1124,2,5.316
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,25,1127,4,4.307
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,26,1033,15,5.29
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,27,970,6,4.063
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,28,1195,0,5.245
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,29,1102,1,5.379
patch-Chart-26-fix.patch,Chart,26,Randoop_2019,30,1121,2,6.102
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,1,1192,449,3.252
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,2,936,458,3.197
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,3,932,122,3.238
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,4,1027,159,3.274
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,5,708,176,3.183
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,6,1036,112,3.225
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,7,1015,91,3.322
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,8,959,325,3.383
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,9,694,287,3.247
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,10,1033,308,3.206
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,11,1009,223,3.214
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,12,1203,298,3.219
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,13,1155,253,3.236
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,14,1003,250,3.218
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,15,643,129,3.206
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,16,738,114,3.18
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,17,841,163,3.197
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,18,1053,243,3.257
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,19,1011,48,3.424
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,20,988,495,3.249
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,21,1017,14,3.483
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,22,820,109,3.19
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,23,762,40,3.199
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,24,692,132,3.191
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,25,1178,244,3.481
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,26,892,144,3.199
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,27,831,58,3.195
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,28,908,559,3.205
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,29,1128,270,3.535
patch-Chart-3-fix.patch,Chart,3,Randoop_2019,30,812,127,3.197
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,1,1745,0,2.278
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,2,1712,0,2.319
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,3,1813,0,2.168
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,4,2110,0,2.17
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,5,2105,0,2.174
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,6,2034,0,2.178
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,7,1762,0,2.166
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,8,1549,0,2.17
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,9,1819,0,2.182
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,10,1912,0,2.166
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,11,2058,0,2.165
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,12,2017,0,2.193
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,13,2045,0,2.196
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,14,2018,0,2.211
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,15,2165,0,2.187
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,16,1829,0,2.154
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,17,2123,0,2.203
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,18,2131,0,2.187
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,19,2075,0,2.176
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,20,2133,0,2.17
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,21,2004,0,2.167
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,22,1712,0,2.155
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,23,1607,0,2.156
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,24,1728,0,2.166
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,25,1859,0,2.17
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,26,1936,0,2.17
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,27,1851,0,2.159
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,28,1855,0,2.166
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,29,2184,0,2.181
patch-Chart-5-fix.patch,Chart,5,Randoop_2019,30,2133,0,2.18
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,1,628,150,2.141
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,2,998,242,2.193
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,3,1189,81,2.226
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,4,1017,7,2.168
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,5,855,23,2.304
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,6,885,81,2.186
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,7,704,136,2.198
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,8,721,97,2.16
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,9,1071,226,2.184
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,10,916,295,2.172
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,11,1047,432,2.208
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,12,737,72,2.164
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,13,1062,439,2.212
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,14,977,48,2.189
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,15,1045,124,2.249
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,16,947,22,2.219
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,17,670,192,2.18
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,18,1051,316,2.209
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,19,868,349,2.184
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,20,1013,123,2.182
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,21,838,326,2.181
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,22,554,176,2.154
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,23,856,272,2.202
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,24,942,217,2.21
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,25,1031,229,2.182
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,26,822,73,2.178
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,27,863,41,2.178
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,28,975,360,2.226
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,29,747,167,2.171
patch-Chart-9-fix.patch,Chart,9,Randoop_2019,30,794,13,2.171
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,1,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,2,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,3,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,4,0,0,0.003
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,5,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,6,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,7,0,0,0.003
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,8,0,0,0.003
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,9,0,0,0.004
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,10,0,0,0.003
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,11,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,12,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,13,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,14,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,15,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,16,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,17,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,18,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,19,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,20,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,21,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,22,0,0,0.003
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,23,0,0,0.003
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,24,0,0,0.004
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,25,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,26,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,27,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,28,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,29,0,0,0.002
patch-Closure-115-fix.patch,Closure,115,Randoop_2019,30,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,1,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,2,0,0,0.003
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,3,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,4,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,5,0,0,0.004
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,6,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,7,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,8,0,0,0.001
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,9,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,10,0,0,0.001
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,11,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,12,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,13,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,14,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,15,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,16,0,0,0.003
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,17,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,18,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,19,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,20,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,21,0,0,0.004
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,22,0,0,0.003
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,23,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,24,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,25,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,26,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,27,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,28,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,29,0,0,0.002
patch-Closure-126-fix.patch,Closure,126,Randoop_2019,30,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,1,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,2,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,3,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,4,0,0,0.003
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,5,0,0,0
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,6,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,7,0,0,0.003
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,8,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,9,0,0,0.003
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,10,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,11,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,12,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,13,0,0,0.003
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,14,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,15,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,16,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,17,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,18,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,19,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,20,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,21,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,22,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,23,0,0,0.003
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,24,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,25,0,0,0.003
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,26,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,27,0,0,0.003
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,28,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,29,0,0,0.002
patch-Closure-18-fix.patch,Closure,18,Randoop_2019,30,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,1,0,0,0.003
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,2,0,0,0.003
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,3,0,0,0.003
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,4,0,0,0.006
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,5,0,0,0.006
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,6,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,7,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,8,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,9,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,10,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,11,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,12,0,0,0.006
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,13,0,0,0.003
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,14,0,0,0.006
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,15,0,0,0.003
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,16,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,17,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,18,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,19,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,20,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,21,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,22,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,23,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,24,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,25,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,26,0,0,0.003
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,27,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,28,0,0,0.001
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,29,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,Randoop_2019,30,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,1,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,2,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,3,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,4,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,5,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,6,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,7,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,8,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,9,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,10,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,11,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,12,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,13,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,14,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,15,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,16,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,17,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,18,0,0,0.004
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,19,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,20,0,0,0.004
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,21,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,22,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,23,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,24,0,0,0.006
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,25,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,26,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,27,0,0,0.002
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,28,0,0,0.003
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,29,0,0,0.004
patch-Closure-33-fix.patch,Closure,33,Randoop_2019,30,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,1,0,0,0.003
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,2,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,3,0,0,0.003
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,4,0,0,0.003
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,5,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,6,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,7,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,8,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,9,0,0,0.007
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,10,0,0,0.005
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,11,0,0,0.003
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,12,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,13,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,14,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,15,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,16,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,17,0,0,0.003
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,18,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,19,0,0,0.004
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,20,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,21,0,0,0.002
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,22,0,0,0.004
patch-Closure-40-fix.patch,Closure,40,Randoop_2019,23,0,0,0.003
