Patch,bug,overfitting,in which trial,execution time,,
patch5-Chart-25-Arja-plausible.patch,Chart25,,,,,
patch1-Chart-26-Jaid-plausible.patch,Chart26,x,,,,
patch2-Chart-26-Jaid-plausible.patch,Chart26,x,,,,
patch1-Chart-3-Elixir-plausible.patch,Chart3,Overfitting,0,124192,,
patch1-Chart-5-DeepRepair.patch,Chart5,Overfitting,0,124171,,
patch1-Chart-7-DeepRepair.patch,Chart7,,,,,
patch1-Chart-7-JGenProg2015-plausible.patch,Chart7,,,,,
patch1-Chart-9-Jaid-plausible.patch,Chart9,,,,,
patch2-Chart-9-Jaid-plausible.patch,Chart9,,,,,
patch3-Chart-9-Jaid-plausible.patch,Chart9,,,,,
patch-Closure-115-ssFix-plausible.patch,Closure115,,,,,
patch1-Closure-123-SequenceR.patch,Closure123,,,,,
patch1-Closure-18-SequenceR.patch,Closure18,,,,,
patch3-Closure-18-SequenceR.patch,Closure18,,,,,
patch4-Closure-18-SequenceR.patch,Closure18,,,,,
patch5-Closure-18-SequenceR.patch,Closure18,,,,,
patch1-Closure-33-Jaid-plausible.patch,Closure33,,,,,
patch2-Closure-33-Jaid-plausible.patch,Closure33,,,,,
patch1-Closure-38-SequenceR.patch,Closure38,,,,,
patch2-Closure-38-SequenceR.patch,Closure38,,,,,
patch3-Closure-38-SequenceR.patch,Closure38,,,,,
patch1-Closure-62-Jaid-plausible.patch,Closure62,,,,,
patch1-Closure-63-Jaid-plausible.patch,Closure63,,,,,
patch1-Closure-73-SequenceR.patch,Closure73,,,,,
patch2-Closure-86-SequenceR.patch,Closure86,,,,,
patch3-Closure-86-SequenceR.patch,Closure86,,,,,
patch4-Closure-86-SequenceR.patch,Closure86,,,,,
patch5-Closure-86-SequenceR.patch,Closure86,,,,,
patch1-Closure-92-SequenceR.patch,Closure92,,,,,
patch10-Closure-92-SequenceR.patch,Closure92,,,,,
patch2-Closure-92-SequenceR.patch,Closure92,,,,,
patch3-Closure-92-SequenceR.patch,Closure92,,,,,
patch4-Closure-92-SequenceR.patch,Closure92,,,,,
patch5-Closure-92-SequenceR.patch,Closure92,,,,,
patch6-Closure-92-SequenceR.patch,Closure92,,,,,
patch7-Closure-92-SequenceR.patch,Closure92,,,,,
patch8-Closure-92-SequenceR.patch,Closure92,,,,,
patch9-Closure-92-SequenceR.patch,Closure92,,,,,
patch1-Closure-93-SequenceR.patch,Closure93,,,,,
patch10-Closure-93-SequenceR.patch,Closure93,,,,,
patch2-Closure-93-SequenceR.patch,Closure93,,,,,
patch3-Closure-93-SequenceR.patch,Closure93,,,,,
patch4-Closure-93-SequenceR.patch,Closure93,,,,,
patch5-Closure-93-SequenceR.patch,Closure93,,,,,
patch6-Closure-93-SequenceR.patch,Closure93,,,,,
patch7-Closure-93-SequenceR.patch,Closure93,,,,,
patch8-Closure-93-SequenceR.patch,Closure93,,,,,
patch9-Closure-93-SequenceR.patch,Closure93,,,,,
patch1-Lang-16-Arja-plausible.patch,Lang16,,,,,
patch2-Lang-16-Arja-plausible.patch,Lang16,,,,,
patch1-Lang-20-Arja-plausible.patch,Lang20,,,,,
patch2-Lang-20-Arja-plausible.patch,Lang20,,,,,
patch3-Lang-20-Arja-plausible.patch,Lang20,,,,,
patch1-Lang-22-Arja-plausible.patch,Lang22,,,,,
patch2-Lang-22-Arja-plausible.patch,Lang22,,,,,
patch3-Lang-22-Arja-plausible.patch,Lang22,,,,,
patch4-Lang-22-Arja-plausible.patch,Lang22,,,,,
patch-Lang-27-ssFix-plausible.patch,Lang27,,,,,
patch1-Lang-27-DeepRepair.patch,Lang27,,,,,
patch1-Lang-39-Arja-plausible.patch,Lang39,,,,,
patch1-Lang-39-Elixir-plausible.patch,Lang39,,,,,
patch1-Lang-39-Nopol2015-plausible.patch,Lang39,,,,,
patch1-Lang-41-Arja-plausible.patch,Lang41,,,,,
patch1-Lang-43-CapGen-plausible.patch,Lang43,,,,,
patch2-Lang-43-Arja-plausible.patch,Lang43,,,,,
patch3-Lang-43-Arja-plausible.patch,Lang43,,,,,
patch4-Lang-43-Arja-plausible.patch,Lang43,,,,,
patch1-Lang-44-Elixir-plausible.patch,Lang44,,,,,
patch1-Lang-45-Jaid-plausible.patch,Lang45,,,,,
patch2-Lang-45-Jaid-plausible.patch,Lang45,,,,,
patch1-Lang-50-Arja-plausible.patch,Lang50,,,,,
patch2-Lang-50-Arja-plausible.patch,Lang50,,,,,
patch3-Lang-50-Arja-plausible.patch,Lang50,,,,,
patch4-Lang-50-Arja-plausible.patch,Lang50,,,,,
patch5-Lang-50-Arja-plausible.patch,Lang50,,,,,
patch6-Lang-50-Arja-plausible.patch,Lang50,,,,,
patch1-Lang-51-Arja-plausible.patch,Lang51,x,29,5427432,,
patch1-Lang-51-Elixir-plausible.patch,Lang51,x,29,5132119,,
patch1-Lang-51-Jaid-plausible.patch,Lang51,overfitting,2,286558,,
patch1-Lang-51-Nopol2015-plausible.patch,Lang51,,,,,
patch2-Lang-51-Arja-plausible.patch,Lang51,,,,,
patch2-Lang-51-Jaid-plausible.patch,Lang51,X,29,5214625,,
patch3-Lang-51-Jaid-plausible.patch,Lang51,,,,,
patch1-Lang-55-Arja-plausible.patch,Lang55,,,,,
patch1-Lang-55-Jaid-plausible.patch,Lang55,,,,,
patch2-Lang-55-Arja-plausible.patch,Lang55,,,,,
patch2-Lang-55-Jaid-plausible.patch,Lang55,,,,,
patch3-Lang-55-Arja-plausible.patch,Lang55,,,,,
patch3-Lang-55-Jaid-plausible.patch,Lang55,,,,,
patch4-Lang-55-Arja-plausible.patch,Lang55,,,,,
patch5-Lang-55-Arja-plausible.patch,Lang55,,,,,
patch1-Lang-58-Elixir-plausible.patch,Lang58,,,,,
patch1-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch1-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch10-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch11-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch12-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch13-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch2-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch2-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch3-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch3-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch4-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch4-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch5-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch5-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch6-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch6-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch7-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch7-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch8-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch8-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch9-Lang-59-Arja-plausible.patch,Lang59,,,error,,
patch9-Lang-59-CapGen-plausible.patch,Lang59,,,error,,
patch1-Lang-6-SketchFix-plausible.patch,Lang6,X,0,error,,
patch2-Lang-6-SequenceR.patch,Lang6,X,29,5964276,,
patch2-Lang-6-SketchFix-plausible.patch,Lang6,X,0,error,,
patch1-Lang-60-Arja-plausible.patch,Lang60,,,,,
patch1-Lang-61-Arja-plausible.patch,Lang61,,,,,
patch1-Lang-61-Jaid-plausible.patch,Lang61,,,,,
patch2-Lang-61-Arja-plausible.patch,Lang61,,,,,
patch2-Lang-61-Jaid-plausible.patch,Lang61,,,,,
patch3-Lang-61-Arja-plausible.patch,Lang61,,,,,
patch4-Lang-61-Arja-plausible.patch,Lang61,,,,,
patch1-Lang-63-Arja-plausible.patch,Lang63,,,,,
patch2-Lang-63-Arja-plausible.patch,Lang63,,,,,
patch3-Lang-63-Arja-plausible.patch,Lang63,,,,,
patch4-Lang-63-Arja-plausible.patch,Lang63,,,,,
patch5-Lang-63-Arja-plausible.patch,Lang63,,,,,
patch1-Math-104-Elixir-plausible.patch,Math104,X,,,,
patch1-Math-2-Arja-plausible.patch,Math2,overfitting,1,229242,,
patch1-Math-2-Elixir-plausible.patch,Math2,overfitting,2,348430,,
patch1-Math-2-JGenProg2015-plausible.patch,Math2,overfitting,8,1098138,,
patch1-Math-2-SOFix-plausible.patch,Math2,overfitting,3,389113,,
patch2-Math-2-SOFix-plausible.patch,Math2,overfitting,2,362920,,
patch3-Math-2-Arja-plausible.patch,Math2,X,29,4196389,,
patch4-Math-2-Arja-plausible.patch,Math2,overfitting,0,134083,,
patch5-Math-2-Arja-plausible.patch,Math2,overfitting,0,126625,,
patch6-Math-2-Arja-plausible.patch,Math2,overfitting,0,100598,,
patch7-Math-2-Arja-plausible.patch,Math2,overfitting,0,119888,,
patch8-Math-2-Arja-plausible.patch,Math2,X,29,4264257,,
patch1-Math-20-Arja-plausible.patch,Math20,,,,,
patch1-Math-20-Elixir-plausible.patch,Math20,,,,,
patch1-Math-20-ssFix-plausible.patch,Math20,,,,,
patch10-Math-20-Arja-plausible.patch,Math20,,,,,
patch11-Math-20-Arja-plausible.patch,Math20,,,,,
patch2-Math-20-Arja-plausible.patch,Math20,,,,,
patch3-Math-20-Arja-plausible.patch,Math20,,,,,
patch5-Math-20-Arja-plausible.patch,Math20,,,,,
patch6-Math-20-Arja-plausible.patch,Math20,,,,,
patch7-Math-20-Arja-plausible.patch,Math20,,,,,
patch8-Math-20-Arja-plausible.patch,Math20,,,,,
patch9-Math-20-Arja-plausible.patch,Math20,,,,,
patch1-Math-28-ACS-plausible.patch,Math28,,,,,
patch1-Math-28-Arja-plausible.patch,Math28,,,,,
patch1-Math-28-DeepRepair.patch,Math28,,,,,
patch1-Math-28-ssFix-plausible.patch,Math28,,,,,
patch10-Math-28-Arja-plausible.patch,Math28,,,,,
patch11-Math-28-Arja-plausible.patch,Math28,,,,,
patch3-Math-28-Arja-plausible.patch,Math28,,,,,
patch4-Math-28-Arja-plausible.patch,Math28,,,,,
patch5-Math-28-Arja-plausible.patch,Math28,,,,,
patch6-Math-28-Arja-plausible.patch,Math28,,,,,
patch7-Math-28-Arja-plausible.patch,Math28,,,,,
patch8-Math-28-Arja-plausible.patch,Math28,,,,,
patch9-Math-28-Arja-plausible.patch,Math28,,,,,
patch-Math-30-ssFix-plausible.patch,Math30,,,,,
patch1-Math-31-Arja-plausible.patch,Math31,,,,,
patch2-Math-31-Arja-plausible.patch,Math31,,,,,
patch3-Math-31-Arja-plausible.patch,Math31,,,,,
patch4-Math-31-Arja-plausible.patch,Math31,,,,,
patch5-Math-31-Arja-plausible.patch,Math31,,,,,
patch6-Math-31-Arja-plausible.patch,Math31,,,,,
patch7-Math-31-Arja-plausible.patch,Math31,,,,,
patch1-Math-32-Elixir-plausible.patch,Math32,x,29,,,
patch1-Math-32-Jaid-plausible.patch,Math32,X,29,,No Determined Value,
patch1-Math-33-SketchFix-plausible.patch,Math33,,,,,
patch1-Math-49-Arja-plausible.patch,Math49,,,,,
patch1-Math-49-DeepRepair.patch,Math49,,,,,
patch1-Math-49-JGenProg2015-plausible.patch,Math49,,,,,
patch1-Math-49-Nopol2015-plausible.patch,Math49,,,,,
patch2-Math-49-Arja-plausible.patch,Math49,,,,,
patch3-Math-49-Arja-plausible.patch,Math49,,,,,
patch4-Math-49-Arja-plausible.patch,Math49,,,,,
patch5-Math-49-Arja-plausible.patch,Math49,,,,,
patch6-Math-49-Arja-plausible.patch,Math49,,,,,
patch7-Math-49-Arja-plausible.patch,Math49,,,,,
patch1-Math-5-CapGen-plausible.patch,Math5,,,,,
patch2-Math-5-CapGen-plausible.patch,Math5,,,,,
patch3-Math-5-CapGen-plausible.patch,Math5,,,,,
patch1-Math-50-HDRepair.patch,Math50,Overfitting,29,,repair test found,
patch1-Math-50-Jaid-plausible.patch,Math50,,,,,
patch3-Math-50-Jaid-plausible.patch,Math50,,,,,
patch1-Math-53-DeepRepair.patch,Math53,,,,,
patch1-Math-53-Jaid-plausible.patch,Math53,,,,,
patch2-Math-53-Jaid-plausible.patch,Math53,,,,,
patch3-Math-53-Jaid-plausible.patch,Math53,,,,,
patch1-Math-56-Arja-plausible.patch,Math56,,,,,
patch2-Math-56-Arja-plausible.patch,Math56,,,,,
patch1-Math-57-ssFix-plausible.patch,Math57,x,29,5735742,,
patch1-Math-58-Nopol2015-plausible.patch,Math58,,,,,
patch1-Math-59-SequenceR.patch,Math59,,,,,
patch1-Math-6-Arja-plausible.patch,Math6,,,,fail to be compiled,
patch1-Math-6-SimFix-plausible.patch,Math6,,,,,
patch1-Math-60-Arja-plausible.patch,Math60,,,,,
patch1-Math-63-CapGen-plausible.patch,Math63,,,,,
patch1-Math-63-Elixir-plausible.patch,Math63,,,,,
patch1-Math-63-SequenceR.patch,Math63,,,,,
patch2-Math-63-CapGen-plausible.patch,Math63,,,,,
patch3-Math-63-CapGen-plausible.patch,Math63,,,,,
patch4-Math-63-CapGen-plausible.patch,Math63,,,,,
patch5-Math-63-CapGen-plausible.patch,Math63,,,,,
patch6-Math-63-CapGen-plausible.patch,Math63,,,,,
patch7-Math-63-CapGen-plausible.patch,Math63,,,,,
patch8-Math-63-CapGen-plausible.patch,Math63,,,,,
patch1-Math-68-Arja-plausible.patch,Math68,,,,,
patch1-Math-70-SketchFix-plausible.patch,Math70,,,,did not generate an EvoSuite class,
patch2-Math-70-SketchFix-plausible.patch,Math70,,,,did not generate an EvoSuite class,
patch1-Math-71-Arja-plausible.patch,Math71,x,29,3654915,,
patch1-Math-73-ACS-plausible.patch,Math73,X,29,1336492,,
patch1-Math-73-Elixir-plausible.patch,Math73,X,29,1182562,,
patch1-Math-73-SimFix-plausible.patch,Math73,,,1525314,,
patch1-Math-74-Arja-plausible.patch,Math74,X,29,4663935,,
patch-Math-79-ssFix-plausible.patch,Math79,X,29,3977452,Failed Generating a Test Class.,
patch1-Math-8-Arja-plausible.patch,Math8,overfitting,1,434558,,
patch1-Math-8-SimFix-plausible.patch,Math8,overfitting,0,95689,,
patch1-Math-8-ssFix-plausible.patch,Math8,X,29,2473495,,
patch2-Math-8-Arja-plausible.patch,Math8,overfitting,2,434115,,
patch3-Math-8-Arja-plausible.patch,Math8,overfitting,0,90397,,
patch4-Math-8-Arja-plausible.patch,Math8,overfitting,0,104857,,
patch5-Math-8-Arja-plausible.patch,Math8,X,29,5275294,,
patch6-Math-8-Arja-plausible.patch,Math8,overfitting,1,470501,,
patch1-Math-80-Arja-plausible.patch,Math80,overfitting,0,129071,,
patch1-Math-80-CapGen-plausible.patch,Math80,overfitting,1,276133,,
patch1-Math-80-Elixir-plausible.patch,Math80,overfitting,1,297286,,
patch1-Math-80-Jaid-plausible.patch,Math80,overfitting,,173044,,
patch1-Math-80-SequenceR.patch,Math80,overfitting,0,170114,,
patch10-Math-80-Arja-plausible.patch,Math80,overfitting,0,176290,,
patch10-Math-80-CapGen-plausible.patch,Math80,overfitting,4,629792,,
patch11-Math-80-Arja-plausible.patch,Math80,overfitting,2,437512,,
patch12-Math-80-Arja-plausible.patch,Math80,overfitting,0,186612,,
patch13-Math-80-Arja-plausible.patch,Math80,,,,,
patch14-Math-80-Arja-plausible.patch,Math80,overfitting,1,354799,,
patch15-Math-80-Arja-plausible.patch,Math80,overfitting,0,152805,,
patch2-Math-80-Arja-plausible.patch,Math80,overfitting,2,426669,,
patch2-Math-80-CapGen-plausible.patch,Math80,overfitting,0,201515,,
patch2-Math-80-Jaid-plausible.patch,Math80,,,,,
patch3-Math-80-Arja-plausible.patch,Math80,,,,,
patch3-Math-80-CapGen-plausible.patch,Math80,overfitting,0,202035,,
patch3-Math-80-Jaid-plausible.patch,Math80,overfitting,0,191638,,
patch4-Math-80-Arja-plausible.patch,Math80,overfitting,0,482475,,
patch4-Math-80-CapGen-plausible.patch,Math80,overfitting,0,205747,,
patch5-Math-80-Arja-plausible.patch,Math80,overfitting,0,182665,,
patch5-Math-80-CapGen-plausible.patch,Math80,overfitting,0,184490,,
patch6-Math-80-Arja-plausible.patch,Math80,overfitting,1,359321,,
patch6-Math-80-CapGen-plausible.patch,Math80,overfitting,0,180578,,
patch7-Math-80-Arja-plausible.patch,Math80,overfitting,0,211113,,
patch7-Math-80-CapGen-plausible.patch,Math80,overfitting,0,149671,,
patch8-Math-80-Arja-plausible.patch,Math80,X,29,3726328,,
patch8-Math-80-CapGen-plausible.patch,Math80,overfitting,0,182341,,
patch9-Math-80-Arja-plausible.patch,Math80,,,,,
patch9-Math-80-CapGen-plausible.patch,Math80,overfitting,0,190129,,
patch1-Math-81-ACS-plausible.patch,Math81,X,29,5176382,Semantic Difference Found! ,Failed to produce a test case.
patch1-Math-81-DeepRepair.patch,Math81,overfitting,0,187359,,
patch1-Math-81-SimFix-plausible.patch,Math81,overfitting,0,189306,,
patch1-Math-82-HDRepair.patch,Math82,X,29,4279635,,
patch1-Math-82-Jaid-plausible.patch,Math82,,,,,
patch1-Math-82-SimFix-plausible.patch,Math82,X,29,,,
patch1-Math-82-SketchFix-plausible.patch,Math82,,,,,
patch2-Math-82-Jaid-plausible.patch,Math82,,,,,
patch2-Math-82-SketchFix-plausible.patch,Math82,X,29,3526526,No Change Exercised!,
patch3-Math-82-Jaid-plausible.patch,Math82,,,,,
patch3-Math-82-SequenceR.patch,Math82,,,,,
patch4-Math-82-Jaid-plausible.patch,Math82,,,,,
patch1-Math-85-CapGen-plausible.patch,Math85,X,,,,
patch1-Math-85-HDRepair.patch,Math85,X,,,,
patch1-Math-85-Jaid-plausible.patch,Math85,X,,,,
patch1-Math-85-Nopol2015-plausible.patch,Math85,X,,,,
patch1-Math-85-SimFix-plausible.patch,Math85,X,,,,
patch10-Math-85-SequenceR.patch,Math85,X,,,,
patch11-Math-85-SequenceR.patch,Math85,X,,,,
patch12-Math-85-SequenceR.patch,Math85,X,,,,
patch13-Math-85-SequenceR.patch,Math85,X,,,,
patch14-Math-85-SequenceR.patch,Math85,X,,,,
patch15-Math-85-SequenceR.patch,Math85,X,,,,
patch16-Math-85-SequenceR.patch,Math85,X,,,,
patch17-Math-85-SequenceR.patch,Math85,X,,,,
patch2-Math-85-CapGen-plausible.patch,Math85,X,,,,
patch2-Math-85-Jaid-plausible.patch,Math85,X,,,,
patch2-Math-85-SequenceR.patch,Math85,X,,,,
patch3-Math-85-CapGen-plausible.patch,Math85,X,,,,
patch3-Math-85-Jaid-plausible.patch,Math85,X,,,,
patch3-Math-85-SequenceR.patch,Math85,X,,,,
patch4-Math-85-Jaid-plausible.patch,Math85,X,,,,
patch4-Math-85-SequenceR.patch,Math85,X,,,,
patch5-Math-85-SequenceR.patch,Math85,X,,,,
patch6-Math-85-SequenceR.patch,Math85,X,,,,
patch7-Math-85-SequenceR.patch,Math85,X,,,,
patch8-Math-85-SequenceR.patch,Math85,X,,,,
patch9-Math-85-SequenceR.patch,Math85,X,,,,
patch1-Math-88-SimFix-plausible.patch,Math88,X,29,3657952,,
patch1-Math-97-ACS-plausible.patch,Math97,overfitting,0,97986,,
patch1-Time-11-Arja-plausible.patch,Time11,X,29,4163246,Failed Generating a Test Class,
patch1-Time-11-Elixir-plausible.patch,Time11,X,29,4538269,Failed Generating a Test Class,
patch1-Time-11-Nopol2015-plausible.patch,Time11,X,29,5264574,Failed Generating a Test Class,
patch2-Time-11-Arja-plausible.patch,Time11,X,29,5245216,Failed Generating a Test Class,
patch3-Time-11-Arja-plausible.patch,Time11,X,29,5525741,Failed Generating a Test Class,
patch4-Time-11-Arja-plausible.patch,Time11,X,29,4963257,Failed Generating a Test Class,
patch5-Time-11-Arja-plausible.patch,Time11,X,29,5425742,Failed Generating a Test Class,
patch6-Time-11-Arja-plausible.patch,Time11,X,29,4557314,Failed Generating a Test Class,
patch7-Time-11-Arja-plausible.patch,Time11,X,29,5312678,Failed Generating a Test Class,
patch1-Time-14-Arja-plausible.patch,Time14,X,29,5257942,,
patch1-Time-4-JGenProg2015-plausible.patch,Time4,overfitting,0,101883,,
patch2-Time-4-Arja-plausible.patch,Time4,overfitting,0,99560,,
patch3-Time-4-Arja-plausible.patch,Time4,overfitting,0,102309,,
patch4-Time-4-Arja-plausible.patch,Time4,overfitting,0,122844,,
patch5-Time-4-Arja-plausible.patch,Time4,overfitting,0,116600,,
patch6-Time-4-Arja-plausible.patch,Time4,overfitting,0,103270,,
patch7-Time-4-Arja-plausible.patch,Time4,overfitting,0,115624,,
