PROJECT,SEED,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Chart_1,20,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,21,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,22,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,23,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,24,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,25,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,26,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,27,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,28,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,29,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_1,30,org.jfree.chart.renderer.category,AbstractCategoryItemRenderer,1437,631,177,65,334,185,115,72,15,51
Chart_5,1,org.jfree.data.xy,XYSeries,90,601,13,67,22,152,13,61,0,34
Chart_5,2,org.jfree.data.xy,XYSeries,72,619,11,69,20,154,11,63,0,34
Chart_5,3,org.jfree.data.xy,XYSeries,57,634,9,71,17,157,9,65,0,34
Chart_5,4,org.jfree.data.xy,XYSeries,42,649,7,73,14,160,7,67,0,34
Chart_5,5,org.jfree.data.xy,XYSeries,42,649,7,73,14,160,7,67,0,34
Chart_5,6,org.jfree.data.xy,XYSeries,37,654,6,74,13,161,6,68,0,34
Chart_5,7,org.jfree.data.xy,XYSeries,36,655,5,75,13,161,5,69,0,34
Chart_5,8,org.jfree.data.xy,XYSeries,21,670,4,76,8,166,4,70,0,34
Chart_5,9,org.jfree.data.xy,XYSeries,21,670,4,76,8,166,4,70,0,34
Chart_5,10,org.jfree.data.xy,XYSeries,21,670,4,76,8,166,4,70,0,34
Chart_5,11,org.jfree.data.xy,XYSeries,21,670,4,76,8,166,4,70,0,34
Chart_5,12,org.jfree.data.xy,XYSeries,19,672,3,77,7,167,3,71,0,34
Chart_5,13,org.jfree.data.xy,XYSeries,14,677,2,78,6,168,2,72,0,34
Chart_5,14,org.jfree.data.xy,XYSeries,14,677,2,78,6,168,2,72,0,34
Chart_5,15,org.jfree.data.xy,XYSeries,14,677,2,78,6,168,2,72,0,34
Chart_5,16,org.jfree.data.xy,XYSeries,14,677,2,78,6,168,2,72,0,34
Chart_5,17,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,18,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,19,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,20,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,21,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,22,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,23,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,24,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,25,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,26,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,27,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,28,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,29,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_5,30,org.jfree.data.xy,XYSeries,12,679,1,79,5,169,1,73,0,34
Chart_3,1,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,2,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,3,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,4,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,5,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,6,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,7,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,8,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,9,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,10,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,11,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,12,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,13,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,14,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,15,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,16,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,17,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,18,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,19,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,20,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,21,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,22,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,23,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,24,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,25,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,26,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,27,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,28,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,29,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_3,30,org.jfree.chart.urls,TimeSeriesURLGenerator,245,0,28,0,60,0,22,0,8,0
Chart_7,1,org.jfree.data.time,TimePeriodValues,587,0,54,0,149,0,54,0,27,0
Chart_7,2,org.jfree.data.time,TimePeriodValues,130,457,14,40,24,125,13,41,2,25
Chart_7,3,org.jfree.data.time,TimePeriodValues,105,482,13,41,20,129,11,43,1,26
Chart_7,4,org.jfree.data.time,TimePeriodValues,105,482,13,41,20,129,11,43,1,26
Chart_7,5,org.jfree.data.time,TimePeriodValues,105,482,13,41,20,129,11,43,1,26
Chart_7,6,org.jfree.data.time,TimePeriodValues,105,482,13,41,20,129,11,43,1,26
Chart_7,7,org.jfree.data.time,TimePeriodValues,100,487,12,42,19,130,10,44,1,26
Chart_7,8,org.jfree.data.time,TimePeriodValues,98,489,11,43,18,131,9,45,1,26
Chart_7,9,org.jfree.data.time,TimePeriodValues,98,489,11,43,18,131,9,45,1,26
Chart_7,10,org.jfree.data.time,TimePeriodValues,98,489,11,43,18,131,9,45,1,26
Chart_7,11,org.jfree.data.time,TimePeriodValues,98,489,11,43,18,131,9,45,1,26
Chart_7,12,org.jfree.data.time,TimePeriodValues,26,561,9,45,8,141,8,46,0,27
Chart_7,13,org.jfree.data.time,TimePeriodValues,26,561,9,45,8,141,8,46,0,27
Chart_7,14,org.jfree.data.time,TimePeriodValues,26,561,9,45,8,141,8,46,0,27
Chart_7,15,org.jfree.data.time,TimePeriodValues,24,563,8,46,7,142,7,47,0,27
Chart_7,16,org.jfree.data.time,TimePeriodValues,24,563,8,46,7,142,7,47,0,27
Chart_7,17,org.jfree.data.time,TimePeriodValues,24,563,8,46,7,142,7,47,0,27
Chart_7,18,org.jfree.data.time,TimePeriodValues,24,563,8,46,7,142,7,47,0,27
Chart_7,19,org.jfree.data.time,TimePeriodValues,24,563,8,46,7,142,7,47,0,27
Chart_7,20,org.jfree.data.time,TimePeriodValues,24,563,8,46,7,142,7,47,0,27
Chart_7,21,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,22,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,23,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,24,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,25,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,26,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,27,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,28,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,29,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_7,30,org.jfree.data.time,TimePeriodValues,22,565,7,47,6,143,6,48,0,27
Chart_8,1,org.jfree.data.time,Week,153,468,21,47,38,122,19,40,2,23
Chart_8,2,org.jfree.data.time,Week,153,468,21,47,38,122,19,40,2,23
Chart_8,3,org.jfree.data.time,Week,153,468,21,47,38,122,19,40,2,23
Chart_8,4,org.jfree.data.time,Week,153,468,21,47,38,122,19,40,2,23
Chart_8,5,org.jfree.data.time,Week,153,468,21,47,38,122,19,40,2,23
Chart_8,6,org.jfree.data.time,Week,138,483,21,47,34,126,18,41,1,24
Chart_8,7,org.jfree.data.time,Week,117,504,19,49,30,130,17,42,1,24
Chart_8,8,org.jfree.data.time,Week,117,504,19,49,30,130,17,42,1,24
Chart_8,9,org.jfree.data.time,Week,117,504,19,49,30,130,17,42,1,24
Chart_8,10,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,11,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,12,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,13,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,14,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,15,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,16,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,17,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,18,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,19,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,20,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,21,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,22,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,23,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,24,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,25,org.jfree.data.time,Week,84,537,17,51,23,137,15,44,1,24
Chart_8,26,org.jfree.data.time,Week,79,542,15,53,21,139,13,46,1,24
Chart_8,27,org.jfree.data.time,Week,79,542,15,53,21,139,13,46,1,24
Chart_8,28,org.jfree.data.time,Week,79,542,15,53,21,139,13,46,1,24
Chart_8,29,org.jfree.data.time,Week,79,542,15,53,21,139,13,46,1,24
Chart_8,30,org.jfree.data.time,Week,79,542,15,53,21,139,13,46,1,24
Chart_9,1,org.jfree.data.time,TimeSeries,1158,0,140,0,279,0,114,0,44,0
Chart_9,2,org.jfree.data.time,TimeSeries,1158,0,140,0,279,0,114,0,44,0
Chart_9,3,org.jfree.data.time,TimeSeries,1158,0,140,0,279,0,114,0,44,0
Chart_9,4,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,5,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,6,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,7,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,8,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,9,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,10,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,11,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,12,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,13,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,14,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,15,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,16,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,17,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,18,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,19,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,20,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,21,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,22,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,23,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,24,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,25,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,26,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,27,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,28,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,29,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_9,30,org.jfree.data.time,TimeSeries,426,732,64,76,102,177,43,71,4,40
Chart_11,1,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,2,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,3,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,4,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,5,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,6,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,7,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,8,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,9,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,10,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,11,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,12,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,13,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,14,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,15,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,16,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,17,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,18,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,19,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,20,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,21,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,22,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,23,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,24,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,25,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,26,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,27,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,28,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,29,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_11,30,org.jfree.chart.util,ShapeUtilities,430,442,76,40,87,104,52,27,4,17
Chart_12,1,org.jfree.chart.plot,MultiplePiePlot,506,203,69,15,120,67,41,22,3,18
Chart_12,2,org.jfree.chart.plot,MultiplePiePlot,506,203,69,15,120,67,41,22,3,18
Chart_12,3,org.jfree.chart.plot,MultiplePiePlot,506,203,69,15,120,67,41,22,3,18
Chart_12,4,org.jfree.chart.plot,MultiplePiePlot,506,203,69,15,120,67,41,22,3,18
Chart_12,5,org.jfree.chart.plot,MultiplePiePlot,506,203,69,15,120,67,41,22,3,18
Chart_12,6,org.jfree.chart.plot,MultiplePiePlot,468,241,62,22,112,75,40,23,3,18
Chart_12,7,org.jfree.chart.plot,MultiplePiePlot,468,241,62,22,112,75,40,23,3,18
Chart_12,8,org.jfree.chart.plot,MultiplePiePlot,460,249,59,25,109,78,37,26,3,18
Chart_12,9,org.jfree.chart.plot,MultiplePiePlot,460,249,59,25,109,78,37,26,3,18
Chart_12,10,org.jfree.chart.plot,MultiplePiePlot,460,249,59,25,109,78,37,26,3,18
Chart_12,11,org.jfree.chart.plot,MultiplePiePlot,412,297,51,33,95,92,35,28,2,19
Chart_12,12,org.jfree.chart.plot,MultiplePiePlot,412,297,51,33,95,92,35,28,2,19
Chart_12,13,org.jfree.chart.plot,MultiplePiePlot,412,297,51,33,95,92,35,28,2,19
Chart_12,14,org.jfree.chart.plot,MultiplePiePlot,136,573,31,53,33,154,28,35,2,19
Chart_12,15,org.jfree.chart.plot,MultiplePiePlot,136,573,31,53,33,154,28,35,2,19
Chart_12,16,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,17,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,18,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,19,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,20,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,21,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,22,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,23,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,24,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,25,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,26,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,27,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,28,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,29,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_12,30,org.jfree.chart.plot,MultiplePiePlot,131,578,30,54,32,155,27,36,2,19
Chart_13,1,org.jfree.chart.block,BorderArrangement,742,656,59,61,102,119,49,21,0,10
Chart_13,2,org.jfree.chart.block,BorderArrangement,727,671,58,62,99,122,49,21,0,10
Chart_13,3,org.jfree.chart.block,BorderArrangement,692,706,52,68,92,129,48,22,0,10
Chart_13,4,org.jfree.chart.block,BorderArrangement,634,764,44,76,81,140,44,26,0,10
Chart_13,5,org.jfree.chart.block,BorderArrangement,634,764,44,76,81,140,44,26,0,10
Chart_13,6,org.jfree.chart.block,BorderArrangement,626,772,43,77,80,141,43,27,0,10
Chart_13,7,org.jfree.chart.block,BorderArrangement,626,772,43,77,80,141,43,27,0,10
Chart_13,8,org.jfree.chart.block,BorderArrangement,626,772,43,77,80,141,43,27,0,10
Chart_13,9,org.jfree.chart.block,BorderArrangement,626,772,43,77,80,141,43,27,0,10
Chart_13,10,org.jfree.chart.block,BorderArrangement,592,806,42,78,76,145,42,28,0,10
Chart_13,11,org.jfree.chart.block,BorderArrangement,592,806,42,78,76,145,42,28,0,10
Chart_13,12,org.jfree.chart.block,BorderArrangement,588,810,41,79,75,146,41,29,0,10
Chart_13,13,org.jfree.chart.block,BorderArrangement,588,810,41,79,75,146,41,29,0,10
Chart_13,14,org.jfree.chart.block,BorderArrangement,588,810,41,79,75,146,41,29,0,10
Chart_13,15,org.jfree.chart.block,BorderArrangement,588,810,41,79,75,146,41,29,0,10
Chart_13,16,org.jfree.chart.block,BorderArrangement,588,810,41,79,75,146,41,29,0,10
Chart_13,17,org.jfree.chart.block,BorderArrangement,588,810,41,79,75,146,41,29,0,10
Chart_13,18,org.jfree.chart.block,BorderArrangement,556,842,38,82,70,151,38,32,0,10
Chart_13,19,org.jfree.chart.block,BorderArrangement,556,842,38,82,70,151,38,32,0,10
Chart_13,20,org.jfree.chart.block,BorderArrangement,556,842,38,82,70,151,38,32,0,10
Chart_13,21,org.jfree.chart.block,BorderArrangement,552,846,37,83,69,152,37,33,0,10
Chart_13,22,org.jfree.chart.block,BorderArrangement,550,848,36,84,68,153,36,34,0,10
Chart_13,23,org.jfree.chart.block,BorderArrangement,550,848,36,84,68,153,36,34,0,10
Chart_13,24,org.jfree.chart.block,BorderArrangement,550,848,36,84,68,153,36,34,0,10
Chart_13,25,org.jfree.chart.block,BorderArrangement,550,848,36,84,68,153,36,34,0,10
Chart_13,26,org.jfree.chart.block,BorderArrangement,482,916,33,87,61,160,33,37,0,10
Chart_13,27,org.jfree.chart.block,BorderArrangement,482,916,33,87,61,160,33,37,0,10
Chart_13,28,org.jfree.chart.block,BorderArrangement,482,916,33,87,61,160,33,37,0,10
Chart_13,29,org.jfree.chart.block,BorderArrangement,482,916,33,87,61,160,33,37,0,10
Chart_13,30,org.jfree.chart.block,BorderArrangement,482,916,33,87,61,160,33,37,0,10
hart_15,1,org.jfree.chart.plot,MultiplePiePlot,729,0,84,0,187,0,63,0,21,0
Chart_15,2,org.jfree.chart.plot,MultiplePiePlot,670,59,84,0,172,15,62,1,20,1
Chart_15,3,org.jfree.chart.plot,MultiplePiePlot,566,163,76,8,138,49,49,14,8,13
Chart_15,4,org.jfree.chart.plot,MultiplePiePlot,425,304,61,23,100,87,41,22,4,17
Chart_15,5,org.jfree.chart.plot,MultiplePiePlot,423,306,61,23,99,88,40,23,3,18
Chart_15,6,org.jfree.chart.plot,MultiplePiePlot,423,306,61,23,99,88,40,23,3,18
Chart_15,7,org.jfree.chart.plot,MultiplePiePlot,423,306,61,23,99,88,40,23,3,18
Chart_15,8,org.jfree.chart.plot,MultiplePiePlot,416,313,60,24,97,90,39,24,2,19
Chart_15,9,org.jfree.chart.plot,MultiplePiePlot,406,323,59,25,94,93,38,25,2,19
Chart_15,10,org.jfree.chart.plot,MultiplePiePlot,406,323,59,25,94,93,38,25,2,19
Chart_15,11,org.jfree.chart.plot,MultiplePiePlot,406,323,59,25,94,93,38,25,2,19
Chart_15,12,org.jfree.chart.plot,MultiplePiePlot,397,332,57,27,92,95,37,26,2,19
Chart_15,13,org.jfree.chart.plot,MultiplePiePlot,397,332,57,27,92,95,37,26,2,19
