patch_name,test,seed,failure_number
patch1-Math-85-HDRepair.patch,Evosuite_2019,10,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,11,2
patch1-Math-85-HDRepair.patch,Evosuite_2019,12,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,13,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,14,1
patch1-Math-85-HDRepair.patch,Evosuite_2019,15,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,16,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,17,1
patch1-Math-85-HDRepair.patch,Evosuite_2019,18,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,19,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,20,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,21,1
patch1-Math-85-HDRepair.patch,Evosuite_2019,22,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,23,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,24,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,25,1
patch1-Math-85-HDRepair.patch,Evosuite_2019,26,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,27,0
patch1-Math-85-HDRepair.patch,Evosuite_2019,28,1
patch1-Math-85-HDRepair.patch,Evosuite_2019,29,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,0,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,1,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,2,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,3,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,4,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,5,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,6,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,7,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,8,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,9,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,10,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,11,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,12,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,13,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,14,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,15,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,16,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,17,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,18,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,19,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,20,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,21,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,22,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,23,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,24,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,25,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,26,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,27,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,28,0
patch1-Math-50-HDRepair.patch,Evosuite_2019,29,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,0,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,1,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,2,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,3,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,4,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,5,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,6,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,7,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,8,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,9,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,10,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,11,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,12,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,13,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,14,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,15,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,16,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,17,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,18,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,19,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,20,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,21,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,22,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,23,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,24,1
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,25,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,26,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,27,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,28,0
patch2-Chart-1-SketchFix-plausible.patch,Evosuite_2019,29,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,0,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,1,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,2,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,3,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,4,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,5,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,6,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,7,1
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,8,1
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,9,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,10,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,11,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,12,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,13,1
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,14,1
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,15,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,16,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,17,1
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,18,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,19,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,20,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,21,1
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,22,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,23,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,24,1
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,25,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,26,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,27,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,28,0
patch1-Chart-1-SketchFix-plausible.patch,Evosuite_2019,29,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,0,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,1,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,2,1
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,3,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,4,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,5,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,6,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,7,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,8,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,9,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,10,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,11,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,12,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,13,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,14,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,15,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,16,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,17,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,18,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,19,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,20,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,21,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,22,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,23,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,24,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,25,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,26,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,27,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,28,0
patch2-Math-82-SketchFix-plausible.patch,Evosuite_2019,29,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,0,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,1,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,2,1
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,3,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,4,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,5,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,6,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,7,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,8,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,9,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,10,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,11,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,12,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,13,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,14,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,15,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,16,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,17,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,18,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,19,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,20,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,21,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,22,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,23,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,24,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,25,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,26,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,27,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,28,0
patch1-Math-82-SketchFix-plausible.patch,Evosuite_2019,29,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,0,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,1,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,2,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,4,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,5,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,6,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,7,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,8,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,9,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,10,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,11,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,12,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,13,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,14,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,15,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,16,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,17,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,18,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,19,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,20,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,21,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,22,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,23,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,24,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,25,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,26,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,27,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,28,0
patch1-Math-70-SketchFix-plausible.patch,Evosuite_2019,29,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,0,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,1,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,2,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,3,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,4,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,5,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,6,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,7,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,8,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,9,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,10,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,11,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,12,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,13,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,14,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,15,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,16,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,17,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,18,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,19,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,20,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,21,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,22,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,23,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,24,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,25,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,26,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,27,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,28,0
patch1-Math-33-SketchFix-plausible.patch,Evosuite_2019,29,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,0,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,1,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,2,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,4,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,5,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,6,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,7,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,8,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,9,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,10,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,11,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,12,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,13,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,14,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,15,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,16,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,17,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,18,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,19,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,20,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,21,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,22,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,23,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,24,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,25,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,26,0
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,27,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,28,1
patch2-Math-70-SketchFix-plausible.patch,Evosuite_2019,29,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,0,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,1,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,2,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,3,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,4,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,5,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,6,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,7,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,8,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,9,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,10,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,11,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,12,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,13,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,14,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,15,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,16,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,17,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,18,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,19,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,20,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,21,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,22,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,23,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,24,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,25,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,26,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,27,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,28,1
patch2-Lang-6-SketchFix-plausible.patch,Evosuite_2019,29,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,0,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,1,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,2,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,3,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,4,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,5,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,6,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,7,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,8,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,9,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,10,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,11,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,12,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,13,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,14,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,15,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,16,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,17,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,18,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,19,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,20,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,21,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,22,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,23,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,24,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,25,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,26,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,27,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,28,1
patch1-Lang-6-SketchFix-plausible.patch,Evosuite_2019,29,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,0,2
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,1,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,2,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,3,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,4,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,5,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,6,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,7,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,8,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,9,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,10,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,11,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,12,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,13,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,14,2
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,15,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,16,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,17,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,18,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,19,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,20,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,21,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,22,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,23,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,24,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,25,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,26,0
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,27,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,28,1
patch1-Chart-3-Elixir-plausible.patch,Evosuite_2019,29,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,0,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,1,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,2,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,3,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,4,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,5,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,6,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,7,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,8,1
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,9,1
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,10,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,11,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,12,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,13,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,14,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,15,1
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,16,0
patch1-Chart-13-Elixir-plausible.patch,Evosuite_2019,17,0
