Patch,Project,Bug,Test,Seed,Test Number,Failing Tests,Time
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,19,8,0,0.315
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,20,8,0,0.307
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,21,9,0,0.321
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,22,9,0,0.304
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,23,9,0,0.307
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,24,8,0,0.322
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,25,8,0,0.319
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,26,8,0,0.311
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,27,9,0,0.316
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,28,9,0,0.32
patch-Chart-24-fix.patch,Chart,24,DRR_Evosuite,29,8,0,0.315
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,0,60,0,3.129
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,1,56,0,2.312
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,2,59,0,2.366
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,4,53,0,2.318
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,5,54,0,2.285
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,6,59,0,2.189
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,7,60,0,2.761
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,8,57,0,2.336
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,9,61,0,2.222
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,10,54,0,2.968
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,11,56,0,2.317
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,12,56,0,2.363
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,13,57,0,2.198
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,14,59,0,2.325
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,15,59,0,2.17
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,16,56,1,2.339
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,17,58,0,2.195
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,18,57,0,2.242
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,19,56,0,2.173
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,20,62,0,2.254
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,21,0,0,0.004
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,22,56,0,2.341
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,23,57,0,2.178
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,24,58,0,2.311
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,25,56,0,2.751
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,26,54,0,2.2
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,27,59,0,2.352
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,28,57,1,2.325
patch-Chart-26-fix.patch,Chart,26,DRR_Evosuite,29,58,0,2.265
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,0,1,1,0.004
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,1,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,2,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,3,1,1,0.004
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,4,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,5,1,1,0.002
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,6,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,7,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,8,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,9,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,10,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,11,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,12,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,13,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,14,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,15,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,16,1,1,0.002
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,17,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,18,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,19,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,20,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,21,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,22,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,23,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,24,1,1,0.004
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,25,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,26,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,27,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,28,1,1,0.003
patch-Chart-3-fix.patch,Chart,3,DRR_Evosuite,29,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,0,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,1,1,1,0.002
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,2,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,3,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,4,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,5,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,6,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,7,1,1,0.002
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,8,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,9,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,10,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,11,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,12,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,13,1,1,0.002
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,14,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,15,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,16,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,17,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,18,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,19,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,20,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,21,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,22,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,23,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,24,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,25,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,26,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,27,1,1,0.003
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,28,1,1,0.004
patch-Chart-5-fix.patch,Chart,5,DRR_Evosuite,29,1,1,0.004
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,0,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,1,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,2,1,1,0.005
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,3,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,4,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,5,1,1,0.002
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,6,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,7,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,8,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,9,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,10,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,11,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,13,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,14,1,1,0.002
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,15,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,16,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,17,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,18,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,19,1,1,0.004
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,20,1,1,0.002
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,21,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,22,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,23,1,1,0.004
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,24,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,25,1,1,0.002
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,26,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,27,1,1,0.004
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,28,1,1,0.003
patch-Chart-9-fix.patch,Chart,9,DRR_Evosuite,29,1,1,0.004
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,0,12,4,6.12
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,1,10,0,6.001
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,2,11,0,5.612
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,3,10,0,5.858
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,4,5,1,5.524
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,5,10,0,6.134
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,6,13,0,5.688
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,7,7,0,5.584
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,8,11,1,5.317
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,9,9,0,5.182
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,10,6,0,5.107
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,12,10,0,5.181
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,13,7,0,5.331
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,14,9,0,5.398
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,15,7,0,5.317
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,16,10,2,5.228
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,17,6,0,5.008
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,18,11,3,5.639
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,19,9,0,6.158
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,20,12,0,5.635
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,21,10,2,5.927
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,22,7,0,5.183
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,23,9,0,5.304
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,24,10,2,5.282
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,25,13,1,5.884
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,26,11,1,5.318
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,27,11,2,5.53
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,28,6,0,5.38
patch-Closure-115-fix.patch,Closure,115,DRR_Evosuite,29,9,0,5.685
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,0,8,0,5.202
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,1,8,0,5.184
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,2,11,0,5.172
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,3,4,0,5.018
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,4,7,0,5.104
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,5,8,0,4.801
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,6,10,0,4.971
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,7,6,0,4.955
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,8,8,0,4.89
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,9,15,0,5.119
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,10,9,0,5.161
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,11,9,0,5.579
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,12,13,0,5.161
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,13,6,0,5.053
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,14,6,0,4.88
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,15,10,0,4.881
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,16,6,0,5.034
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,17,5,0,4.898
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,18,5,0,4.795
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,19,7,0,5.211
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,20,10,0,5.089
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,21,6,0,4.88
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,22,6,0,4.851
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,23,12,0,5.388
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,24,6,0,5.099
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,25,7,0,5.214
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,26,8,0,4.889
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,27,13,0,5.003
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,28,5,0,5.049
patch-Closure-126-fix.patch,Closure,126,DRR_Evosuite,29,9,0,5.037
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,0,97,1,8.133
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,1,96,1,7.987
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,2,101,2,7.623
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,3,95,1,7.366
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,4,94,1,7.733
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,5,93,2,8.152
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,7,96,1,7.22
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,8,99,2,7.769
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,9,100,1,7.391
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,10,98,2,7.548
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,11,99,1,7.197
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,12,96,1,8.965
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,13,86,2,7.155
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,14,86,1,7.401
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,15,95,2,7.143
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,16,102,3,7.326
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,17,88,2,7.468
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,18,97,2,6.976
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,19,93,1,6.722
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,20,96,2,7.847
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,21,94,1,7.324
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,22,97,2,8.445
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,23,95,1,7.039
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,24,91,3,7.44
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,25,92,1,7.45
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,26,93,2,7.375
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,27,96,1,7.062
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,28,93,1,7.495
patch-Closure-18-fix.patch,Closure,18,DRR_Evosuite,29,104,8,7.273
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,1,85,0,7.199
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,2,88,0,6.968
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,3,102,1,7.715
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,4,95,0,8.014
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,5,92,0,7.041
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,6,90,1,6.817
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,7,101,4,7.256
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,8,84,0,7.282
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,9,100,0,7.581
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,10,94,0,7.093
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,11,94,0,7.142
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,12,92,1,6.647
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,13,94,1,7.147
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,14,98,0,7.3
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,15,92,0,7.332
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,16,100,0,7.015
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,17,99,13,7.283
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,18,98,1,6.877
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,19,0,0,0.002
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,20,91,0,7.565
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,21,94,0,7.73
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,22,101,0,8.005
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,23,90,0,6.978
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,24,90,1,6.955
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,25,96,0,6.908
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,26,82,1,7.333
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,27,90,0,6.879
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,28,83,1,6.701
patch-Closure-31-fix.patch,Closure,31,DRR_Evosuite,29,85,0,6.604
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,0,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,1,1,1,0.004
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,2,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,3,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,4,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,5,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,6,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,7,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,8,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,9,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,10,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,11,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,12,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,13,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,14,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,15,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,16,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,17,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,18,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,19,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,20,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,21,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,22,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,23,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,24,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,25,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,26,1,1,0.003
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,27,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,28,1,1,0.002
patch-Closure-33-fix.patch,Closure,33,DRR_Evosuite,29,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,0,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,1,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,2,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,3,1,1,0.002
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,4,1,1,0.002
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,5,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,6,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,7,1,1,0.004
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,8,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,9,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,10,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,11,1,1,0.003
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,12,1,1,0.002
patch-Closure-40-fix.patch,Closure,40,DRR_Evosuite,13,1,1,0.003
